timestamp,cpu_percent,memory_percent,disk_read,disk_write,net_sent,net_recv,gpu_percent,gpu_memory_used,gpu_memory_total
1757616894.788259,8.7,89.7,694412529664,293751110144,518076721,973535292,0,0,0
1757616895.9817357,12.0,89.6,694414338560,293751499264,518078442,973539362,0,0,0
1757616897.0091393,15.3,89.7,694415018496,293751553024,518080984,973541972,0,0,0
1757616898.054985,11.2,89.7,694416349696,293751926272,518081183,973542086,0,0,0
1757616899.089899,10.6,89.7,694418147840,293752406016,518081183,973542086,0,0,0
1757616900.126354,11.1,89.8,694419053056,293752844288,518105727,973574742,0,0,0
1757616901.152902,16.9,89.8,694420523520,293753205760,518106023,973576150,0,0,0
1757616902.1679754,12.8,89.8,694422211072,293753325568,518106248,973576243,0,0,0
1757616903.2089431,12.2,89.7,694422493696,293754655232,518108493,973576616,0,0,0
1757616904.2243056,17.9,89.9,694446503424,293754946048,518110929,973576616,0,0,0
1757616905.2458613,11.9,90.0,694448911872,293755124224,518111373,973577129,0,0,0
1757616906.2899225,15.0,89.9,694449022464,293755125248,518111579,973577250,0,0,0
1757616907.3083618,11.3,89.9,694449645056,293755278336,518111903,973577497,0,0,0
1757616908.3262482,32.4,90.0,694453737472,293755506688,518112075,973577669,0,0,0
1757616909.344358,12.4,90.1,694454679552,293757510144,518112075,973577669,0,0,0
